Run_ID,Speed_kmh,Mass_tonnes,Conv_Decel_mps2,Eddy_Addon_mps2,Total_Decel_mps2,Stop_Time_Conv_s,Stop_Dist_Conv_m,Stop_Time_Augmented_s,Stop_Dist_Augmented_m,Dist_Saved_m,Dist_Saved_Pct,Time_Saved_s,Total_Energy_MJ,Regen_Energy_kWh,Regen_Energy_MJ,Energy_Recovery_Pct,CO2_Saved_kg,Homes_Days
13,196.54,757.82,0.891,0.16,1.051,61.26,1672.29,51.93,1417.56,254.73,15.23,9.33,1129.38,23.89,86.02,7.62,5.57,2.99
14,109.73,684.87,0.635,0.535,1.17,48.03,732.02,26.06,397.15,334.87,45.75,21.97,318.13,20.21,72.77,22.87,4.71,2.53
15,105.46,580.04,0.927,0.484,1.412,31.59,462.68,20.75,303.92,158.76,34.31,10.84,248.86,11.86,42.7,17.16,2.76,1.48
16,105.68,722.88,0.642,0.428,1.071,45.7,670.74,27.42,402.38,268.35,40.01,18.28,311.45,17.31,62.3,20.0,4.03,2.16
17,122.59,682.2,0.695,0.314,1.009,48.98,834.0,33.76,574.76,259.24,31.08,15.23,395.56,17.08,61.48,15.54,3.98,2.13
18,153.47,311.94,0.948,0.219,1.167,44.97,958.58,36.52,778.46,180.12,18.79,8.45,283.44,7.4,26.63,9.39,1.72,0.92
19,140.47,735.54,0.89,0.213,1.102,43.85,855.59,35.4,690.6,164.99,19.28,8.46,559.95,15.0,53.99,9.64,3.49,1.87
20,120.77,523.61,1.01,0.25,1.26,33.23,557.41,26.63,446.74,110.67,19.85,6.6,294.65,8.13,29.25,9.93,1.89,1.02
21,165.66,684.46,0.895,0.37,1.264,51.44,1183.54,36.4,837.45,346.09,29.24,15.04,724.68,29.43,105.95,14.62,6.86,3.68
22,99.53,737.65,0.841,0.436,1.277,32.87,454.44,21.65,299.32,155.12,34.13,11.22,281.92,13.37,48.12,17.07,3.11,1.67
23,120.9,390.8,0.556,0.414,0.97,60.38,1013.88,34.61,581.19,432.68,42.68,25.77,220.38,13.06,47.03,21.34,3.04,1.63
24,131.29,266.03,0.721,0.262,0.983,50.61,922.83,37.12,676.79,246.04,26.66,13.49,176.92,6.55,23.58,13.33,1.53,0.82
25,143.85,336.76,0.659,0.532,1.191,60.62,1211.21,33.55,670.27,540.94,44.66,27.08,268.85,16.68,60.04,22.33,3.89,2.08
26,189.92,456.26,0.646,0.445,1.092,81.62,2152.93,48.33,1274.92,878.01,40.78,33.29,634.96,35.97,129.47,20.39,8.38,4.5
27,107.95,690.81,1.084,0.372,1.456,27.67,414.85,20.6,308.9,105.95,25.54,7.07,310.6,11.02,39.66,12.77,2.57,1.38
28,151.99,716.44,0.736,0.395,1.131,57.38,1211.2,37.34,788.36,422.85,34.91,20.03,638.54,30.96,111.46,17.46,7.21,3.87
29,162.94,204.17,1.035,0.318,1.353,43.72,989.4,33.45,756.99,232.41,23.49,10.27,209.12,6.82,24.56,11.75,1.59,0.85
30,86.5,506.45,0.879,0.249,1.128,27.35,328.55,21.31,255.98,72.57,22.09,6.04,146.21,4.49,16.15,11.04,1.05,0.56
31,165.06,450.45,0.977,0.292,1.269,46.93,1075.93,36.12,828.08,247.85,23.04,10.81,473.45,15.15,54.53,11.52,3.53,1.89
32,103.87,333.26,0.802,0.453,1.255,36.0,519.31,23.0,331.76,187.55,36.11,13.0,138.73,6.96,25.05,18.06,1.62,0.87
33,89.11,271.92,0.846,0.156,1.002,29.25,362.03,24.71,305.75,56.28,15.55,4.55,83.3,1.8,6.47,7.77,0.42,0.22
34,212.84,402.57,0.796,0.196,0.992,74.32,2197.06,59.6,1761.99,435.07,19.8,14.72,703.6,19.35,69.67,9.9,4.51,2.42
35,215.19,765.75,0.617,0.168,0.786,96.86,2894.78,76.09,2274.21,620.57,21.44,20.76,1368.01,40.73,146.63,10.72,9.49,5.09
36,193.18,393.92,0.933,0.166,1.1,57.48,1542.3,48.79,1309.09,233.21,15.12,8.69,567.13,11.91,42.88,7.56,2.78,1.49
37,122.65,511.27,0.668,0.492,1.161,50.97,868.15,29.35,500.0,368.15,42.41,21.61,296.71,17.48,62.91,21.2,4.07,2.18
38,93.67,621.81,0.515,0.431,0.946,50.57,657.87,27.5,357.84,300.03,45.61,23.06,210.51,13.33,48.0,22.8,3.11,1.67
39,175.79,418.18,0.887,0.34,1.227,55.03,1343.71,39.8,971.71,371.99,27.68,15.24,498.57,19.17,69.01,13.84,4.47,2.4
40,141.62,783.07,0.606,0.189,0.795,64.89,1276.32,49.46,972.83,303.49,23.78,15.43,605.93,20.01,72.04,11.89,4.66,2.5
41,97.09,777.47,1.064,0.347,1.411,25.34,341.68,19.11,257.73,83.95,24.57,6.23,282.72,9.65,34.73,12.28,2.25,1.21
42,149.32,351.07,1.072,0.339,1.412,38.68,802.21,29.38,609.36,192.85,24.04,9.3,302.01,10.08,36.3,12.02,2.35,1.26
43,84.81,498.35,1.049,0.219,1.268,22.46,264.58,18.58,218.83,45.75,17.29,3.88,138.3,3.32,11.96,8.65,0.77,0.42
44,207.3,380.53,0.722,0.324,1.046,79.75,2296.09,55.07,1585.64,710.46,30.94,24.68,630.91,27.11,97.61,15.47,6.32,3.39
45,116.23,370.9,0.509,0.309,0.819,63.4,1023.4,39.44,636.62,386.77,37.79,23.96,193.31,10.15,36.53,18.9,2.36,1.27
46,172.75,222.13,1.057,0.396,1.453,45.4,1089.29,33.02,792.23,297.06,27.27,12.38,255.76,9.69,34.87,13.64,2.26,1.21
47,123.64,565.74,0.757,0.404,1.161,45.37,779.18,29.58,508.0,271.17,34.8,15.79,333.65,16.13,58.06,17.4,3.76,2.02
48,152.81,501.61,1.08,0.168,1.248,39.3,834.15,34.01,721.79,112.36,13.47,5.29,451.89,8.45,30.43,6.74,1.97,1.06
49,156.54,230.89,1.078,0.3,1.378,40.33,876.85,31.55,686.05,190.79,21.76,8.78,218.28,6.6,23.75,10.88,1.54,0.82
50,105.88,367.19,1.012,0.4,1.412,29.07,427.46,20.83,306.27,121.18,28.35,8.24,158.81,6.25,22.51,14.17,1.46,0.78
51,215.74,744.96,0.677,0.351,1.028,88.56,2653.73,58.3,1746.92,906.81,34.17,30.26,1337.72,63.49,228.56,17.09,14.79,7.94
52,188.52,343.74,0.731,0.493,1.224,71.63,1875.52,42.79,1120.51,755.01,40.26,28.84,471.3,26.35,94.86,20.13,6.14,3.29
53,211.53,286.94,1.011,0.413,1.424,58.14,1708.02,41.26,1212.13,495.89,29.03,16.88,495.33,19.97,71.9,14.52,4.65,2.5
54,205.28,493.67,0.69,0.215,0.905,82.62,2355.57,62.98,1795.71,559.86,23.77,19.64,802.56,26.49,95.37,11.88,6.17,3.31
55,163.71,791.39,0.602,0.178,0.78,75.58,1718.37,58.31,1325.69,392.68,22.85,17.27,818.25,25.97,93.49,11.43,6.05,3.25
56,209.06,345.23,0.834,0.407,1.241,69.63,2021.66,46.79,1358.71,662.95,32.79,22.83,582.14,26.51,95.45,16.4,6.18,3.31
57,92.39,603.28,1.062,0.161,1.222,24.17,310.17,21.0,269.42,40.76,13.14,3.18,198.67,3.63,13.05,6.57,0.84,0.45
58,107.44,656.97,0.918,0.384,1.302,32.52,485.31,22.92,342.05,143.26,29.52,9.6,292.57,11.99,43.18,14.76,2.79,1.5
59,86.33,342.58,0.842,0.526,1.368,28.48,341.49,17.53,210.17,131.31,38.45,10.95,98.51,5.26,18.94,19.23,1.23,0.66
60,125.55,636.93,0.558,0.38,0.938,62.46,1089.18,37.16,647.95,441.23,40.51,25.3,387.31,21.79,78.45,20.26,5.08,2.72
61,134.41,420.67,0.869,0.305,1.174,42.97,802.12,31.8,593.6,208.52,26.0,11.17,293.22,10.59,38.11,13.0,2.47,1.32
62,117.99,579.38,1.094,0.407,1.501,29.96,490.93,21.83,357.74,133.19,27.13,8.13,311.18,11.73,42.21,13.56,2.73,1.47
63,196.02,580.12,0.584,0.333,0.917,93.23,2538.22,59.36,1616.01,922.21,36.33,33.87,860.0,43.4,156.23,18.17,10.11,5.42
64,129.95,521.46,0.811,0.368,1.179,44.51,803.28,30.61,552.44,250.84,31.23,13.9,339.71,14.73,53.04,15.61,3.43,1.84
65,119.33,254.17,1.026,0.527,1.553,32.29,535.23,21.34,353.75,181.48,33.91,10.95,139.64,6.58,23.67,16.95,1.53,0.82
66,155.98,701.18,0.944,0.304,1.249,45.87,993.81,34.69,751.55,242.26,24.38,11.18,658.14,22.28,80.22,12.19,5.19,2.79
67,99.73,392.47,0.918,0.534,1.453,30.17,417.9,19.07,264.14,153.75,36.79,11.1,150.6,7.7,27.7,18.4,1.79,0.96
68,192.31,311.91,0.921,0.512,1.434,57.97,1548.34,37.26,995.22,553.12,35.72,20.71,445.03,22.08,79.49,17.86,5.14,2.76
69,90.44,224.47,0.716,0.228,0.944,35.1,440.89,26.61,334.26,106.63,24.19,8.49,70.83,2.38,8.57,12.09,0.55,0.3
70,218.16,554.54,0.676,0.178,0.854,89.63,2715.72,70.97,2150.43,565.29,20.82,18.66,1018.27,29.44,105.98,10.41,6.86,3.68
71,188.11,606.54,0.986,0.19,1.176,53.02,1385.16,44.44,1160.99,224.17,16.18,8.58,828.07,18.61,67.01,8.09,4.34,2.33
72,107.82,209.95,0.986,0.157,1.143,30.37,454.84,26.19,392.27,62.57,13.76,4.18,94.16,1.8,6.48,6.88,0.42,0.22
73,80.77,507.26,1.02,0.188,1.208,21.99,246.71,18.57,208.36,38.35,15.54,3.42,127.68,2.76,9.92,7.77,0.64,0.34
74,194.16,335.9,1.048,0.423,1.471,51.47,1387.93,36.66,988.66,399.26,28.77,14.81,488.55,19.52,70.27,14.38,4.55,2.44
75,178.96,587.1,0.807,0.178,0.985,61.61,1531.47,50.45,1254.06,277.41,18.11,11.16,725.42,18.25,65.7,9.06,4.25,2.28
76,182.06,304.62,0.801,0.278,1.079,63.14,1596.67,46.89,1185.71,410.96,25.74,16.25,389.54,13.93,50.13,12.87,3.24,1.74
77,187.98,614.56,0.979,0.488,1.467,53.34,1392.53,35.6,929.33,463.2,33.26,17.74,837.81,38.71,139.34,16.63,9.02,4.84
78,90.37,432.04,0.89,0.159,1.049,28.2,354.0,23.92,300.25,53.75,15.18,4.28,136.11,2.87,10.33,7.59,0.67,0.36
79,130.19,762.04,0.921,0.476,1.397,39.26,709.81,25.89,468.06,241.75,34.06,13.37,498.27,23.57,84.85,17.03,5.49,2.95
80,96.22,282.51,0.977,0.263,1.24,27.34,365.43,21.55,288.01,77.42,21.19,5.79,100.91,2.97,10.69,10.59,0.69,0.37
81,200.83,404.64,1.034,0.197,1.231,53.95,1504.94,45.31,1263.83,241.11,16.02,8.64,629.67,14.01,50.44,8.01,3.26,1.75
82,167.26,268.08,0.703,0.429,1.131,66.11,1535.78,41.06,953.91,581.87,37.89,25.05,289.35,15.23,54.81,18.94,3.55,1.9
83,126.33,754.82,0.725,0.402,1.127,48.38,848.79,31.14,546.33,302.46,35.63,17.24,464.72,23.0,82.8,17.82,5.36,2.88
84,88.9,726.4,0.556,0.501,1.057,44.38,547.99,23.35,288.35,259.64,47.38,21.03,221.48,14.57,52.47,23.69,3.4,1.82
85,123.54,354.76,0.847,0.444,1.291,40.52,695.18,26.58,456.08,239.1,34.39,13.94,208.88,9.98,35.92,17.2,2.32,1.25
86,125.53,595.99,0.522,0.471,0.993,66.85,1165.52,35.12,612.21,553.32,47.47,31.74,362.3,23.89,86.0,23.74,5.57,2.99
87,182.14,690.33,0.779,0.263,1.042,64.92,1642.33,48.55,1228.17,414.16,25.22,16.37,883.6,30.95,111.41,12.61,7.21,3.87
88,169.26,533.12,0.826,0.221,1.047,56.95,1338.75,44.92,1056.08,282.67,21.11,12.02,589.24,17.28,62.21,10.56,4.03,2.16
89,204.21,517.79,0.672,0.45,1.122,84.42,2394.4,50.55,1433.7,960.7,40.12,33.87,833.05,46.42,167.12,20.06,10.82,5.8
90,146.11,345.11,0.854,0.473,1.327,47.5,963.86,30.58,620.55,343.31,35.62,16.92,284.24,14.06,50.62,17.81,3.28,1.76
91,96.74,255.86,0.518,0.546,1.065,51.85,696.67,25.24,339.2,357.46,51.31,26.6,92.39,6.58,23.7,25.66,1.53,0.82
92,179.85,738.33,0.522,0.315,0.837,95.63,2388.89,59.66,1490.2,898.69,37.62,35.98,921.42,48.14,173.32,18.81,11.22,6.02
93,186.51,740.25,0.994,0.299,1.292,52.14,1350.75,40.09,1038.44,312.31,23.12,12.06,993.45,31.9,114.85,11.56,7.43,3.99
94,158.58,579.86,0.716,0.461,1.177,61.51,1354.79,37.44,824.51,530.28,39.14,24.08,562.57,30.58,110.1,19.57,7.13,3.82
95,187.94,403.42,0.576,0.286,0.863,90.6,2364.73,60.52,1579.77,784.96,33.19,30.07,549.71,25.34,91.24,16.6,5.91,3.17
96,149.13,409.53,0.813,0.522,1.336,50.93,1054.94,31.02,642.41,412.53,39.1,19.92,351.39,19.08,68.7,19.55,4.45,2.39
97,153.18,635.57,0.962,0.493,1.455,44.23,941.05,29.24,622.03,319.01,33.9,14.99,575.37,27.09,97.53,16.95,6.31,3.39
98,139.86,738.27,0.629,0.322,0.951,61.71,1198.77,40.85,793.42,405.35,33.81,20.87,557.11,26.16,94.19,16.91,6.1,3.27
99,83.56,732.25,0.874,0.45,1.324,26.56,308.3,17.53,203.44,104.86,34.01,9.04,197.25,9.32,33.54,17.01,2.17,1.16
100,95.1,667.93,0.551,0.452,1.003,47.93,633.07,26.34,347.9,285.17,45.05,21.59,233.08,14.58,52.5,22.52,3.4,1.82
